from,to,time,amount,type,notes
"greypo","Po8","2012-11-29 03:46:04","44.250000","BUY","Megleris"
"Megleris","Po8","2012-11-29 04:59:51","0.090000","BUY","Octavian0"
"Po8","Lygarine","2012-11-29 09:32:43","510.400000","SELL","The_Lorax"
"nick8041","Po8","2012-11-29 11:00:00","62.500000","BUY","Butlerlog"
"Po8","Lygarine","2012-11-29 11:13:48","1866.240000","SELL","The_Lorax"
"Po8","nick8041","2012-11-29 12:50:26","99.840000","SELL","The_Lorax"
"Po8","Stagen","2012-11-29 13:48:42","31.650000","SELL","Butlerlog"
"greypo","Po8","2012-11-29 13:48:48","472.980000","BUY","Butlerlog"
"Po8","ChapelGentry","2012-11-29 13:50:28","12235.795000","SELL","Butlerlog"
"ChapelGentry","Po8","2012-11-29 13:51:23","155.070000","BUY","Butlerlog"
"ChapelGentry","Po8","2012-11-29 13:52:02","155.070000","BUY","Butlerlog"
"ChapelGentry","Po8","2012-11-29 13:59:59","1596.000000","BUY","myrto"
"ChapelGentry","Po8","2012-11-29 14:08:10","556.720000","BUY","myrto"
"Ekardsille","Po8","2012-11-29 15:01:48","12.500000","BUY","myrto"
"Po8","rabi","2012-11-29 15:02:19","1107.305000","SELL","myrto"
"Po8","ZirixZero","2012-11-29 15:17:09","581.080000","SELL","myrto"
"Van_Awesome","VerifedCupcake","2012-11-29 16:21:43","300.000000","P2P_TRANSFER","--"
"Po8","Lygarine","2012-11-29 16:28:40","1866.240000","SELL","myrto"
"Po8","Stagen","2012-11-29 16:28:55","973.315000","SELL","myrto"
"Po8","GreatRevival","2012-11-29 16:29:07","2.270000","SELL","myrto"
"blacknbluedragon","Po8","2012-11-29 16:29:17","723.900000","BUY","myrto"
"ChapelGentry","Po8","2012-11-29 16:29:42","500.000000","BUY","myrto"
"Van_Awesome","Ulcano","2012-11-29 16:32:42","195.000000","P2P_TRANSFER","--"
"VerifedCupcake","Po8","2012-11-29 17:03:03","51.800000","BUY","myrto"
"CertifedCupcake","Po8","2012-11-29 17:03:15","60.000000","BUY","Pyrotek"
"Pyrotek","myrto","2012-11-29 17:11:52","4936.000000","GRANT","--"
"Po8","blacknbluedragon","2012-11-29 17:15:09","0.135000","SELL","myrto"
"myrto","Po8","2012-11-29 17:19:59","155.520000","BUY","myrto"
"Ulcano","Po8","2012-11-29 17:30:05","395.030000","BUY","myrto"
"PeebleTheory","PickleMan","2012-11-29 17:39:30","30.000000","P2P_TRANSFER","--"
"myrto","Po8","2012-11-29 17:57:30","103.680000","BUY","myrto"
"CertifedCupcake","Po8","2012-11-29 17:57:43","461.010000","BUY","myrto"
"Po8","CertifedCupcake","2012-11-29 18:02:46","33.840000","SELL","myrto"
"Po8","CertifedCupcake","2012-11-29 18:02:57","74.580000","SELL","myrto"
"PickleMan","Po8","2012-11-29 18:06:31","3.840000","BUY","myrto"
"Flashplayerman","Po8","2012-11-29 18:13:09","282.880000","BUY","myrto"
"CertifedCupcake","PickleMan","2012-11-29 18:18:31","125.000000","P2P_TRANSFER","--"
"PickleMan","littlevoecks","2012-11-29 18:24:39","25.000000","P2P_TRANSFER","--"
"CertifedCupcake","PickleMan","2012-11-29 18:27:30","65.000000","P2P_TRANSFER","--"
"littlevoecks","PickleMan","2012-11-29 18:29:22","63.000000","P2P_TRANSFER","--"
"Po8","littlevoecks","2012-11-29 18:45:56","33.775000","SELL","myrto"
"Po8","Ulcano","2012-11-29 18:49:12","221.185000","SELL","Megleris"
"Megleris","RogueHaven","2012-11-29 19:06:08","760.000000","P2P_TRANSFER","--"
"PickleMan","Po8","2012-11-29 19:24:05","2578.050000","BUY","dotlizard"
"CertifedCupcake","Po8","2012-11-29 20:00:53","30.000000","BUY","Butlerlog"
"Po8","CertifedCupcake","2012-11-29 21:08:20","141.120000","SELL","Butlerlog"
"CertifedCupcake","Po8","2012-11-29 21:35:47","45.000000","BUY","Butlerlog"
"PickleMan","Po8","2012-11-29 22:05:13","311.040000","BUY","Megleris"
"Sharkd","Po8","2012-11-29 22:06:33","830.080000","BUY","Pyrotek"
"PickleMan","Po8","2012-11-29 22:17:44","898.560000","BUY","Megleris"
"Po8","Van_Awesome","2012-11-29 22:17:48","762.680000","SELL","Pyrotek"
"Po8","Stanhopes","2012-11-29 22:23:55","16.500000","SELL","Megleris"
"Po8","CertifedCupcake","2012-11-29 22:25:00","31.000000","SELL","Megleris"
"RogueHaven","thurdog","2012-11-29 23:30:28","1000.000000","P2P_TRANSFER","--"
"Lygarine","Po8","2012-11-30 02:43:15","311.040000","BUY","dotlizard"
"Lygarine","Po8","2012-11-30 03:23:02","933.120000","BUY","dotlizard"
"thurdog","Po8","2012-11-30 07:07:44","5324.000000","BUY","Pyrotek"
"Po8","Lygarine","2012-11-30 07:07:47","1866.240000","SELL","Pyrotek"
"Po8","Lygarine","2012-11-30 07:07:50","1866.240000","SELL","Pyrotek"
